,concentration,drug_name,fraction,logfc,pvalue,statistic,timepoint,bonferroni_pvalue,start,end
0,0.01,Alpelisib,nuclear,-0.0692176108494,0.000114240284863,3092783.5,24h,0.0383847357139,0,1
1,0.031623,Alpelisib,nuclear,0.00015105537652,0.323140259968,3142595.5,24h,1.0,1,2
2,0.1,Alpelisib,nuclear,-0.034961416955,0.152178215737,2943618.0,24h,1.0,2,3
3,0.31623,Alpelisib,nuclear,0.0304155902834,0.295394286554,2796446.0,24h,1.0,3,4
4,1.0,Alpelisib,nuclear,0.107467890058,0.00214402392341,2437215.0,24h,0.720392038265,4,5
5,3.1623,Alpelisib,nuclear,0.119508723235,0.306488651077,2142789.5,24h,1.0,5,6
6,10.0,Alpelisib,nuclear,-0.074319562061,4.31024095911e-07,2089116.0,24h,0.000144824096226,6,7
7,0.01,Alpelisib,nuclear,0.0194915312392,0.0455663585704,38035770.0,48h,1.0,7,8
8,0.031623,Alpelisib,nuclear,-0.00451562574371,0.316998320305,36166940.5,48h,1.0,8,9
9,0.1,Alpelisib,nuclear,-0.0064859227674,0.0684961606352,34885960.0,48h,1.0,9,10
10,0.31623,Alpelisib,nuclear,0.0119952059838,0.196366375088,28174769.5,48h,1.0,10,11
11,1.0,Alpelisib,nuclear,0.0454606570418,1.82067160303e-07,20575525.0,48h,6.11745658618e-05,11,12
12,3.1623,Alpelisib,nuclear,0.0911909402641,2.69444014677e-13,14400602.5,48h,9.05331889315e-11,12,13
13,10.0,Alpelisib,nuclear,0.164944643091,2.65969204647e-15,8539367.5,48h,8.93656527613e-13,13,14
14,0.01,Alpelisib,nuclear,0.041057788761,0.0011865302676,360263702.5,72h,0.398674169914,14,15
15,0.031623,Alpelisib,nuclear,0.0463601401052,9.04008403093e-08,280637705.5,72h,3.03746823439e-05,15,16
16,0.1,Alpelisib,nuclear,-0.0653101922576,3.35883653593e-08,253958318.0,72h,1.12856907607e-05,16,17
17,0.31623,Alpelisib,nuclear,-0.0877573463437,8.68283266947e-21,238256610.0,72h,2.91743177694e-18,17,18
18,1.0,Alpelisib,nuclear,-0.0987269352807,2.23411856784e-33,209506564.0,72h,7.50663838795e-31,18,19
19,3.1623,Alpelisib,nuclear,-0.107564327603,5.70710738746e-88,157009054.0,72h,1.91758808219e-85,19,20
20,10.0,Alpelisib,nuclear,0.00924334449575,0.000124976984281,59999960.0,72h,0.0419922667185,20,21
21,0.01,Dasatinib,nuclear,-0.0773599905697,0.000498141191195,3587851.0,24h,0.167375440241,21,22
22,0.031623,Dasatinib,nuclear,-0.594484697675,5.75748278081e-176,2336890.5,24h,1.93451421435e-173,22,23
23,0.1,Dasatinib,nuclear,0.485772073365,2.18341718274e-26,1310810.5,24h,7.33628173399e-24,23,24
24,0.31623,Dasatinib,nuclear,0.650749793179,1.38957297594e-34,1179396.0,24h,4.66896519916e-32,24,25
25,1.0,Dasatinib,nuclear,1.15875808534,7.5505841766e-53,430931.0,24h,2.53699628334e-50,25,26
26,3.1623,Dasatinib,nuclear,0.422320236659,4.73581071642e-17,716039.5,24h,1.59123240072e-14,26,27
27,10.0,Dasatinib,nuclear,1.19165120408,4.63432482447e-51,261775.5,24h,1.55713314102e-48,27,28
28,0.01,Dasatinib,nuclear,0.00996820907655,0.433606266542,37363817.0,48h,1.0,28,29
29,0.031623,Dasatinib,nuclear,0.0504222873953,2.89746509263e-07,24110106.5,48h,9.73548271122e-05,29,30
30,0.1,Dasatinib,nuclear,0.547366826008,1.10880028927e-154,8425332.5,48h,3.72556897196e-152,30,31
31,0.31623,Dasatinib,nuclear,0.772786200022,4.31402791221e-141,3751173.5,48h,1.4495133785e-138,31,32
32,1.0,Dasatinib,nuclear,0.291759331238,3.86347810608e-31,4434221.5,48h,1.29812864364e-28,32,33
33,3.1623,Dasatinib,nuclear,0.419145972473,3.28227402177e-47,1816615.5,48h,1.10284407131e-44,33,34
34,10.0,Dasatinib,nuclear,0.361945035764,8.18709287104e-12,460219.5,48h,2.75086320467e-09,34,35
35,0.01,Dasatinib,nuclear,0.00548739980714,0.0602470038459,214098534.5,72h,1.0,35,36
36,0.031623,Dasatinib,nuclear,0.10957816448,3.47981713402e-06,220939893.0,72h,0.00116921855703,36,37
37,0.1,Dasatinib,nuclear,0.353055697455,1.63192068109e-76,76920337.5,72h,5.48325348845e-74,37,38
38,0.31623,Dasatinib,nuclear,0.914617504595,5.72299053299e-149,20783173.0,72h,1.92292481908e-146,38,39
39,1.0,Dasatinib,nuclear,0.949306301256,3.99171488367e-66,13024296.0,72h,1.34121620091e-63,39,40
40,3.1623,Dasatinib,nuclear,-0.323087319756,8.55022628941e-50,8665666.5,72h,2.87287603324e-47,40,41
41,10.0,Dasatinib,nuclear,-0.34394828521,1.82973961741e-115,7792573.5,72h,6.1479251145e-113,41,42
42,0.01,Etoposide,nuclear,-0.100168908768,6.8333668433e-08,2967458.5,24h,2.29601125935e-05,42,43
43,0.031623,Etoposide,nuclear,0.243816348376,1.34345924011e-15,3212863.0,24h,4.51402304678e-13,43,44
44,0.1,Etoposide,nuclear,1.1621527491,7.93336866367e-136,1389526.5,24h,2.66561187099e-133,44,45
45,0.31623,Etoposide,nuclear,1.72462981748,1.88074405136e-182,1089125.0,24h,6.31930001256e-180,45,46
46,1.0,Etoposide,nuclear,1.80326294557,2.0370559443e-110,698059.0,24h,6.84450797283e-108,46,47
